archivo,descripcion,categoria,pagina_origen,pagina_titulo,url_pagina,url_imagen_original,texto_alternativo,tamano_bytes
23920b_ba8e3b3746714395ae9e3fc0b3265cc0_mv2.png,Foto / imagen institucional usada en la página 'Servicios',foto-servicios,servicios,Servicios,https://www.colegioesquiu.edu.ar/servicios,https://static.wixstatic.com/media/23920b_ba8e3b3746714395ae9e3fc0b3265cc0~mv2.png,Captura de pantalla 2024-01-24 a la(s) 14.06.34.png,11886
23920b_a8d892ee9e9a477d8c9915c7dc76ff67_mv2.png,Foto de perfil de Patricia Doria Medina (Rectora),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_a8d892ee9e9a477d8c9915c7dc76ff67~mv2.png,patofinal.png,441638
6ea5b4a88f0b4f91945b40499aa0af00.png,"Foto en la página 'Nuestro Equipo' — texto alternativo original: ""LinkedIn""",foto-equipo,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/6ea5b4a88f0b4f91945b40499aa0af00.png,LinkedIn,1213
23920b_851ee93103ca4b978e8dc15c7816944e_mv2.png,Foto de perfil de Silvia Lavandeira Fonte (Directora Nivel Inicial),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_851ee93103ca4b978e8dc15c7816944e~mv2.png,silvi.png,427356
23920b_9958205485674be383dd80319839f1d8_mv2.png,Foto de perfil de Carolina Pinto (Directora Inglés Nivel Primario e Inicial),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_9958205485674be383dd80319839f1d8~mv2.png,caroline final.png,414252
23920b_171eed39a5014502ae90c465d5c5ef9f_mv2.png,Foto de perfil de María José Castro Gil (Vicedirección Nivel Primaria),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_171eed39a5014502ae90c465d5c5ef9f~mv2.png,Majo.png,1434307
23920b_a0a01adbf52e4584a09259a5ad4bb354_mv2.png,Foto de perfil de Rosario Avendaño (Coordinadora DOE),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_a0a01adbf52e4584a09259a5ad4bb354~mv2.png,RO.png,471105
23920b_5afe49c9465e4d38bf5359182c581d36_mv2.png,Foto de perfil de Lucas Walton (Coordinador de Pastoral),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_5afe49c9465e4d38bf5359182c581d36~mv2.png,Walton.png,431002
23920b_5a82082a38474b8188b558a8ecb11d9f_mv2.png,Foto de perfil de Fernanda Marsicovetere (Secretaria Nivel Primario),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_5a82082a38474b8188b558a8ecb11d9f~mv2.png,FerM.png,1243722
23920b_7ae6a66795a94a518f24c651a2c5f7a9_mv2.png,Foto de perfil de Pablo Sanchez Terrero (Gerente de Administración),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_7ae6a66795a94a518f24c651a2c5f7a9~mv2.png,PST.png,420948
23920b_885dac3b96e94535a8a5c7b3cf67b532_mv2.png,Foto de perfil de María Laura Castro (Directora Nivel Primario),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_885dac3b96e94535a8a5c7b3cf67b532~mv2.png,ML.png,351710
23920b_1599e538f24d470d9df57b462f6ff03d_mv2.png,Foto de perfil de Adriana Premuz (Directora Inglés Nivel Secundario),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_1599e538f24d470d9df57b462f6ff03d~mv2.png,premuzfinal.png,446401
23920b_8c6e885d16ae41b584aaa236b3f23496_mv2.png,Foto de perfil de M. Victoria Garcia Bouza (Directora de Estudios Nivel Secundaria),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_8c6e885d16ae41b584aaa236b3f23496~mv2.png,vicky.png,392135
23920b_885bbacd77e74928ae3af40661c4b504_mv2.png,Foto de perfil de Ignacio Raña Gómez (Coordinador Educación Física),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_885bbacd77e74928ae3af40661c4b504~mv2.png,nacho.png,466280
23920b_7749ec293e5c4a01b53c0a0b614e0c44_mv2.png,Foto de perfil de Gisela Esteban (Coordinadora de Convivencia),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_7749ec293e5c4a01b53c0a0b614e0c44~mv2.png,Gigi.png,1125959
23920b_1df8f97125974caeaa056e8ed71b410a_mv2.png,Foto de perfil de María B. Arana (Secretaria Nivel Inicial),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_1df8f97125974caeaa056e8ed71b410a~mv2.png,maribe.png,1092615
23920b_7e7cf52811ac45b8b2a4a5c4889d01ef_mv2.png,Foto de perfil de Luz Nievas Zabala (Secretaria Nivel Secundario),staff,equipo,Nuestro Equipo,https://www.colegioesquiu.edu.ar/equipo,https://static.wixstatic.com/media/23920b_7e7cf52811ac45b8b2a4a5c4889d01ef~mv2.png,luz.png,1288857
ce6fab3b25f31f6a063722a0b558b21b.jpg,Foto / imagen institucional usada en la página 'Exalumnos',foto-exalumnos,exalumnos,Exalumnos,https://www.colegioesquiu.edu.ar/exalumnos,https://static.wixstatic.com/media/11062b_00a8c83765b041e99f229f795e93bc7ef000.jpg,,75806
11062b_1f34b07884f2470d979b207dbedc0e5e_mv2.jpeg,"Foto en la página 'General (Nivel Inicial)' — texto alternativo original: ""Alfabetos de colores""",foto-ingles,ingles,Inglés (Educación Bilingüe),https://www.colegioesquiu.edu.ar/general-6,https://static.wixstatic.com/media/11062b_1f34b07884f2470d979b207dbedc0e5e~mv2.jpeg,Alfabetos de colores,6712111
23920b_27549f915c9548288af5df633bbb78d8_mv2.png,Foto / imagen institucional usada en la página 'Galería institucional',foto-historia-mision-vision,historia-mision-vision,Acerca de / Nuestra Historia / Misión y Visión,https://www.colegioesquiu.edu.ar/blank-1,https://static.wixstatic.com/media/23920b_27549f915c9548288af5df633bbb78d8~mv2.png,IMG_8875.HEIC,16755370
23920b_c821f0c5ef81453da41cde1e3605452f_mv2.jpg,Foto / imagen institucional usada en la página 'Galería institucional',foto-historia-mision-vision,historia-mision-vision,Acerca de / Nuestra Historia / Misión y Visión,https://www.colegioesquiu.edu.ar/blank-1,https://static.wixstatic.com/media/23920b_c821f0c5ef81453da41cde1e3605452f~mv2.jpg,DSC_0153.JPG,10838467
23920b_23533dc0d5d54ad88fb1ab3109841323_mv2.png,Foto / imagen institucional usada en la página 'Página de agradecimiento (post-formulario)',foto-gracias,gracias,Gracias (confirmación de formulario),https://www.colegioesquiu.edu.ar/gracias,https://static.wixstatic.com/media/23920b_23533dc0d5d54ad88fb1ab3109841323~mv2.png,IMG_8873.HEIC,13257887
